"","geo","DMA.x","STATE","code","std_avg_index_2019","avg_expenses_2019","avg_revenue_2019","std_avg_index_2021","avg_expenses_2021","avg_revenue_2021","num_lib_2019","num_lib_2021","tot_searches_after","tot_count","X","DMAINDEX","DMA.y","tot_pop","Trends_DMA"
"56","US-NJ-501","NEW YORK (NY)                                                        ","NJ ",501,-0.476801459442309,2456250.67455621,2743335.56804734,-0.505446422285312,2422553.49704142,2678089.75147929,169,169,85,2,6,1,"NEW YORK (NY)                                                        ",NA,"US-NJ-501"
"57","US-NY-501","NEW YORK (NY)                                                        ","NY ",501,-0.476801459442309,2456250.67455621,2743335.56804734,-0.505446422285312,2422553.49704142,2678089.75147929,169,169,78.6,44,1,1,"FAIRBANKS (AK)                                                       ",5355,"US-NY-501"
"58","US-NY-501","NEW YORK (NY)                                                        ","NY ",501,-0.476801459442309,2456250.67455621,2743335.56804734,-0.505446422285312,2422553.49704142,2678089.75147929,169,169,78.6,44,2,1,"FAIRBANKS (AK)                                                       ",5355,"US-PA-501"
"59","US-NY-501","NEW YORK (NY)                                                        ","NY ",501,-0.476801459442309,2456250.67455621,2743335.56804734,-0.505446422285312,2422553.49704142,2678089.75147929,169,169,78.6,44,3,1,"FAIRBANKS (AK)                                                       ",5355,"US-NJ-501"
"60","US-NY-501","NEW YORK (NY)                                                        ","NY ",501,-0.476801459442309,2456250.67455621,2743335.56804734,-0.505446422285312,2422553.49704142,2678089.75147929,169,169,78.6,44,4,1,"NEW YORK (NY)                                                        ",NA,"US-NY-501"
"61","US-NY-501","NEW YORK (NY)                                                        ","NY ",501,-0.476801459442309,2456250.67455621,2743335.56804734,-0.505446422285312,2422553.49704142,2678089.75147929,169,169,78.6,44,5,1,"NEW YORK (NY)                                                        ",NA,"US-PA-501"
"62","US-NY-501","NEW YORK (NY)                                                        ","NY ",501,-0.476801459442309,2456250.67455621,2743335.56804734,-0.505446422285312,2422553.49704142,2678089.75147929,169,169,78.6,44,6,1,"NEW YORK (NY)                                                        ",NA,"US-NJ-501"
"63","US-OK-650","OKLAHOMA CITY (OK)                                                   ","OK ",650,0.502625744652641,12990032.6666667,13274671,0.563262712434468,15014877.3333333,14934523.6666667,3,3,50.5,20,57,45,"OKLAHOMA CITY (OK)                                                   ",1979496,"US-OK-650"
"64","US-OR-500","PORTLAND (OR)                                                        ","OR ",500,-0.436387022462632,1764183.61111111,1657114.94444444,-0.495507829490534,1451252.38888889,1736183.94444444,18,18,39.9875,148,29,23,"PORTLAND (OR)                                                        ",3492236,"US-OR-500"
"65","US-OR-820","PORTLAND (OR)                                                        ","OR ",820,-0.436387022462632,1764183.61111111,1657114.94444444,-0.495507829490534,1451252.38888889,1736183.94444444,18,18,68.475,148,30,23,"PORTLAND (OR)                                                        ",3492236,"US-OR-820"
"66","US-PA-501","NEW YORK (NY)                                                        ","PA ",501,-0.476801459442309,2456250.67455621,2743335.56804734,-0.505446422285312,2422553.49704142,2678089.75147929,169,169,58.75,4,1,1,"FAIRBANKS (AK)                                                       ",5355,"US-NY-501"
"67","US-PA-501","NEW YORK (NY)                                                        ","PA ",501,-0.476801459442309,2456250.67455621,2743335.56804734,-0.505446422285312,2422553.49704142,2678089.75147929,169,169,58.75,4,2,1,"FAIRBANKS (AK)                                                       ",5355,"US-PA-501"
"68","US-PA-501","NEW YORK (NY)                                                        ","PA ",501,-0.476801459442309,2456250.67455621,2743335.56804734,-0.505446422285312,2422553.49704142,2678089.75147929,169,169,58.75,4,3,1,"FAIRBANKS (AK)                                                       ",5355,"US-NJ-501"
"69","US-PA-501","NEW YORK (NY)                                                        ","PA ",501,-0.476801459442309,2456250.67455621,2743335.56804734,-0.505446422285312,2422553.49704142,2678089.75147929,169,169,58.75,4,4,1,"NEW YORK (NY)                                                        ",NA,"US-NY-501"
"70","US-PA-501","NEW YORK (NY)                                                        ","PA ",501,-0.476801459442309,2456250.67455621,2743335.56804734,-0.505446422285312,2422553.49704142,2678089.75147929,169,169,58.75,4,5,1,"NEW YORK (NY)                                                        ",NA,"US-PA-501"
"71","US-PA-501","NEW YORK (NY)                                                        ","PA ",501,-0.476801459442309,2456250.67455621,2743335.56804734,-0.505446422285312,2422553.49704142,2678089.75147929,169,169,58.75,4,6,1,"NEW YORK (NY)                                                        ",NA,"US-NJ-501"
"72","US-PA-504","PHILADELPHIA (PA)                                                    ","PA ",504,-0.427100953600631,1149014.86363636,1142277.48484848,-0.437942903526376,1011708.18461538,1142329.41538462,66,65,70.86,20,9,4,"PHILADELPHIA (PA)                                                    ",8335425,"US-PA-504"
"73","US-PA-508","PITTSBURGH (PA)                                                      ","PA ",508,-0.540885970484789,323222.6,308233.85,-0.570121459421115,370095.7,317913.2,20,20,67.125,304,27,21,"PITTSBURGH (PA)                                                      ",2834556,"US-PA-508"
"74","US-PA-516","ERIE (PA)                                                            ","PA ",516,-0.50248888012109,733553,594998.5,-0.519054700211835,612031.25,632069.3125,16,16,33.0125,304,161,143,"ERIE (PA)                                                            ",392863,"US-PA-516"
"75","US-PA-566","HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ","PA ",566,-0.452163392614278,886485.52173913,1015701.43478261,-0.483161652376391,1115150.04761905,912397.142857143,23,21,58.925,8,59,47,"HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ",1921114,"US-PA-566"
"76","US-PA-577","WILKES BARRE (PA) - SCRANTON (PA)                                    ","PA ",577,-0.522365797326528,968155,828547.5,-0.56176008835124,861365.666666667,858049.833333333,6,6,41.4583333333333,60,65,53,"WILKES BARRE (PA) - SCRANTON (PA)                                    ",1508456,"US-PA-577"
"77","US-SC-507","SAVANNAH (GA)                                                        ","SC ",507,-0.184780731488897,5104400,4597899,-0.0969076826181291,4810567,5191204,1,1,39.625,198,115,98,"SAVANNAH (GA)                                                        ",987666,"US-SC-507"
"78","US-SC-567","GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)  ","SC ",567,-0.347593533113688,2376697,2527052,-0.404377686018125,2249262.5,2682306,2,2,55.6625,6,44,35,"GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)  ",2379868,"US-NC-567"
"79","US-SC-567","GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)  ","SC ",567,-0.347593533113688,2376697,2527052,-0.404377686018125,2249262.5,2682306,2,2,55.6625,6,45,35,"GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)  ",2379868,"US-SC-567"
"80","US-TN-575","CHATTANOOGA (TN)                                                     ","TN ",575,-0.422154851130917,2264700.5,2360675,-0.445636729468201,2092548.75,2257917.25,4,4,40.625,28,100,85,"CHATTANOOGA (TN)                                                     ",1041015,"US-TN-575"
"81","US-TN-640","MEMPHIS (TN)                                                         ","TN ",640,-0.281901025253953,5285954,5516027.6,-0.270659564962563,5732532.6,6078603.4,5,5,40.375,654,55,43,"MEMPHIS (TN)                                                         ",1840614,"US-TN-640"
"82","US-TN-659","NASHVILLE (TN)                                                       ","TN ",659,-0.465163329346017,578878.333333333,584662.333333333,-0.481103445281713,558228.333333333,557355.333333333,3,3,72.4208333333333,34,38,30,"NASHVILLE (TN)                                                       ",3041970,"US-TN-659"
"83","US-TX-612","SHREVEPORT (LA)                                                      ","TX ",612,-0.540087708775582,386750.333333333,413959.333333333,-0.584232221601056,361877,442899.333333333,3,3,35.125,116,96,81,"SHREVEPORT (LA)                                                      ",976760,"US-TX-612"
"84","US-TX-618","HOUSTON (TX)                                                         ","TX ",618,0.22590427305628,7248691.05882353,7135637.29411765,1.72997241938278,8245527.11764706,8612820.4117647,17,17,69.0767857142857,598,17,11,"HOUSTON (TX)                                                         ",7496820,"US-TX-618"
"85","US-TX-623","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",623,-0.34918261670327,2322846.3902439,2159453.51219512,-0.317811192396433,2207945.29113924,2239646.86075949,82,80,73.48375,2884,12,7,"DALLAS (TX) - FT. WORTH (TX)                                         ",8368978,"US-TX-623"
"86","US-TX-635","AUSTIN (TX)                                                          ","TX ",635,-0.270815241752218,3615086,3536006.80952381,-0.331392310882413,3532422.72727273,3680503.77272727,21,22,59.26875,196,66,54,"AUSTIN (TX)                                                          ",2452325,"US-TX-635"
"87","US-TX-641","SAN ANTONIO (TX)                                                     ","TX ",641,-0.0403460684242208,6138778.625,6170862.25,-0.101969182001964,6708553.875,6830108,8,8,57.475,954,47,37,"SAN ANTONIO (TX)                                                     ",2887367,"US-TX-641"
"88","US-TX-765","EL PASO (TX)                                                         ","TX ",765,4.09527608858342,5428030.5,4618832.5,-0.432896251624335,3936028,2868829,2,2,47.5,2,118,101,"EL PASO (TX)                                                         ",1089212,"US-TX-765"
"89","US-UT-770","SALT LAKE CITY (UT)                                                  ","UT ",770,0.0294266746884085,4940937.13043478,5438161.91304348,0.0905483010817853,5856610.08695652,6567709.95652174,23,23,70.0895833333333,1114,46,36,"SALT LAKE CITY (UT)                                                  ",3466961,"US-UT-770"
"90","US-VA-511","WASHINGTON (DC) - HAGERSTOWN (MD)                                    ","VA ",511,2.63482019588748,25417389,25025832.6666667,3.34288291400516,25037045.3333333,24423142,3,3,59.2458333333333,74,13,8,"WASHINGTON (DC) - HAGERSTOWN (MD)                                    ",6976688,"US-VA-511"
"91","US-VA-511","WASHINGTON (DC) - HAGERSTOWN (MD)                                    ","VA ",511,2.63482019588748,25417389,25025832.6666667,3.34288291400516,25037045.3333333,24423142,3,3,59.2458333333333,74,14,8,"WASHINGTON, DC(HAGRSTWN)                                             ",312516,"US-VA-511"
"92","US-VA-517","CHARLOTTESVILLE (VA)                                                 ","VA ",517,0.69077544270677,14516926,14878130,0.846085423518612,15736887,21109750.5,4,4,74.25,40,35,28,"CHARLOTTE (NC)                                                       ",3382632,"US-NC-517"
"93","US-VA-517","CHARLOTTESVILLE (VA)                                                 ","VA ",517,0.69077544270677,14516926,14878130,0.846085423518612,15736887,21109750.5,4,4,74.25,40,204,186,"CHARLOTTESVILLE                                                      ",46289,"US-VA-517"
"94","US-VA-517","CHARLOTTESVILLE (VA)                                                 ","VA ",517,0.69077544270677,14516926,14878130,0.846085423518612,15736887,21109750.5,4,4,74.25,40,206,186,"CHARLOTTESVILLE (VA)                                                 ",174414,"US-VA-517"
"95","US-VA-544","NORFOLK (VA) - PORTSMOUTH (VA) - NEWPORT NEWS (VA)                   ","VA ",544,NA,NA,NA,NA,NA,NA,1,1,63.5,16,52,41,"NORFOLK (VA) - PORTSMOUTH (VA) - NEWPORT NEWS (VA)                   ",1957574,"US-VA-544"
"96","US-VA-544","NORFOLK (VA) - PORTSMOUTH (VA) - NEWPORT NEWS (VA)                   ","VA ",544,NA,NA,NA,NA,NA,NA,1,1,63.5,16,53,41,"NORFOLK-PORTSMTH-NEWPT NWS                                           ",43727,"US-VA-544"
"97","US-VA-556","RICHMOND (VA) - PETERSBURG (VA)                                      ","VA ",556,0.240991533658766,7853101.33333333,7995997,0.86916694669885,7818840.33333333,8103469.33333333,3,3,51.06875,44,71,59,"RICHMOND (VA) - PETERSBURG (VA)                                      ",1504193,"US-VA-556"
"98","US-VA-556","RICHMOND (VA) - PETERSBURG (VA)                                      ","VA ",556,0.240991533658766,7853101.33333333,7995997,0.86916694669885,7818840.33333333,8103469.33333333,3,3,51.06875,44,72,59,"RICHMOND-PETERSBURG                                                  ",59363,"US-VA-556"
"99","US-VA-569","HARRISONBURG                                                         ","VA ",569,NA,NA,NA,NA,NA,NA,1,1,34,2,195,178,"HARRISONBURG                                                         ",99706,"US-VA-569"
"100","US-VA-569","HARRISONBURG                                                         ","VA ",569,NA,NA,NA,NA,NA,NA,1,1,34,2,196,178,"HARRISONBURG (VA)                                                    ",167494,"US-VA-569"
"101","US-VA-573","ROANOKE (VA) - LYNCHBURG (VA)                                        ","VA ",573,-0.133055428729545,6338867.5,8812358.5,-0.109821718262662,4617736.5,4967021,2,2,38.75,2,80,67,"ROANOKE (VA) - LYNCHBURG (VA)                                        ",833442,"US-VA-573"
"102","US-VA-573","ROANOKE (VA) - LYNCHBURG (VA)                                        ","VA ",573,-0.133055428729545,6338867.5,8812358.5,-0.109821718262662,4617736.5,4967021,2,2,38.75,2,81,67,"ROANOKE-LYNCHBURG                                                    ",NA,"US-VA-573"
"103","US-VA-584","CHARLOTTESVILLE (VA)                                                 ","VA ",584,0.69077544270677,14516926,14878130,0.846085423518612,15736887,21109750.5,4,4,42.0625,40,36,28,"CHARLOTTE (NC)                                                       ",3382632,"US-NC-584"
"104","US-VA-584","CHARLOTTESVILLE (VA)                                                 ","VA ",584,0.69077544270677,14516926,14878130,0.846085423518612,15736887,21109750.5,4,4,42.0625,40,205,186,"CHARLOTTESVILLE                                                      ",46289,"US-VA-584"
"105","US-VA-584","CHARLOTTESVILLE (VA)                                                 ","VA ",584,0.69077544270677,14516926,14878130,0.846085423518612,15736887,21109750.5,4,4,42.0625,40,207,186,"CHARLOTTESVILLE (VA)                                                 ",174414,"US-VA-584"
"106","US-WA-810","YAKIMA (WA) - PASCO (WA) - RICHLAND (WA) - KENNEWICK (WA)            ","WA ",810,-0.50415339904923,876832.666666667,934180.666666667,-0.539985880554267,1050299.33333333,1129955,3,3,34.125,2,144,127,"YAKIMA (WA) - PASCO (WA) - RICHLAND (WA) - KENNEWICK (WA)            ",746873,"US-WA-810"
"107","US-WA-819","SEATTLE (WA) - TACOMA (WA)                                           ","WA ",819,5.16997831559742,75569769,77132791,5.40147763454718,68976849.6666667,76365343,3,3,66.1875,8,18,12,"SEATTLE (WA) - TACOMA (WA)                                           ",5512286,"US-WA-819"
"108","US-WI-617","MILWAUKEE (WI)                                                       ","WI ",617,-0.496651924460289,732451.955555556,764161.222222222,-0.507927714265696,851312.659090909,1017491.45454545,45,44,72.1875,12,39,31,"MILWAUKEE (WI)                                                       ",2332533,"US-WI-617"
"109","US-WI-658","GREEN BAY (WI) - APPLETON (WI)                                       ","WI ",658,-0.457069533918735,1162892.33333333,1232533.66666667,-0.494306521381544,1194105.33333333,1253373.66666667,3,3,44.5,6,83,69,"GREEN BAY (WI) - APPLETON (WI)                                       ",1163461,"US-WI-658"
"110","US-WY-756","BILLINGS (MT)                                                        ","WY ",756,-0.390555872552197,1689087,1693155,-0.350073007699648,1608041,1605636,1,1,68,10,187,170,"BILLINGS (MT)                                                        ",294707,"US-WY-756"
"111","US-WY-767","CASPER (WY) - RIVERTON (WY)                                          ","WY ",767,-0.199948001172068,2757988,2746072,-0.111080266056975,3254879,3469392,1,1,33.25,10,221,200,"CASPER (WY) - RIVERTON (WY)                                          ",144978,"US-WY-767"
